company,domain,source,bucket,label,url,reason
hp.com,hp.com,sitemap,service,Security,https://www.hp.com/ar-es/services/security.html,stop word
hitachi.com,hitachi.com,nav_header,nav,"Annual Securities Report, etc.",https://www.hitachi.com/en/ir/library/stock/,"sentence, not a product name"
hitachi.com,hitachi.com,nav_header,nav,"Articles of Incorporation, etc.",https://www.hitachi.com/en/ir/stock/article/,"sentence, not a product name"
iraje.com,iraje.com,nav_footer,nav,Certification,https://www.iraje.com/certification,stop word
itrsgroup.com,itrsgroup.com,sitemap,solution,Use Cases,https://www.itrsgroup.com/solutions/use-cases,stop word
itrsgroup.com,itrsgroup.com,sitemap,service,Training,https://www.itrsgroup.com/services/training,stop word
jamf.com,jamf.com,nav_footer,product,Products,https://www.jamf.com/products/,stop word
jamf.com,jamf.com,nav_footer,nav,Twitter,https://twitter.com/jamfsoftware,stop word
jamf.com,jamf.com,nav_footer,nav,Training,https://www.jamf.com/training/,stop word
jamf.com,jamf.com,nav_footer,nav,YouTube,https://www.youtube.com/user/JAMFMedia,stop word
jamf.com,jamf.com,nav_footer,nav,Instagram,https://www.instagram.com/jamfsoftware/,stop word
jamf.com,jamf.com,nav_footer,nav,Facebook,https://www.facebook.com/jamfsoftware/,stop word
jamf.com,jamf.com,nav_footer,nav,LinkedIn,https://www.linkedin.com/company/jamf-software/,stop word
jisasoftech.com,jisasoftech.com,nav_footer,nav,Twitter,https://twitter.com/JisaSoftech,stop word
jisasoftech.com,jisasoftech.com,nav_footer,nav,Facebook,https://www.facebook.com/JISACryptoBind/,stop word
jisasoftech.com,jisasoftech.com,nav_footer,nav,Instagram,https://www.instagram.com/jisasoftech/,stop word
jisasoftech.com,jisasoftech.com,nav_footer,nav,Linkedin,https://www.linkedin.com/company/jisa-softech/,stop word
jisasoftech.com,jisasoftech.com,nav_footer,nav,YouTube,https://www.youtube.com/channel/UCaMnPHFiqwlVDlYXhQYZxpQ/,stop word
kyndryl.com,kyndryl.com,nav_footer,nav,Security,https://www.kyndryl.com/us/en/cyber-security,stop word
kyndryl.com,kyndryl.com,nav_footer,nav,Certifications,https://www.kyndryl.com/us/en/compliance/certifications,stop word
kyndryl.com,kyndryl.com,nav_header,industry,Industries,https://www.kyndryl.com/us/en/industries,stop word
jio.com,jio.com,sitemap,service,Security,https://www.jio.com/business/services/security/,stop word
jio.com,jio.com,nav_footer,nav,Terms & conditions,https://www.jio.com/jcms/en-in/terms-conditions/,stop word
leegality.com,leegality.com,nav_footer,nav,Terms & Conditions,https://www.leegality.com/tnc,stop word
kaspersky.co.in,kaspersky.co.in,nav_footer,nav,All Solutions,https://www.kaspersky.co.in/home-security,stop word
kaspersky.co.in,kaspersky.co.in,nav_footer,nav,All Products,https://www.kaspersky.co.in/small-to-medium-business-security,stop word
leftrightmind.com,leftrightmind.com,nav_header,platform,Platform,https://www.leftrightmind.com/platform,stop word
